external_code,w,h,low_res
296,461,374,False
297,545,345,False
298,363,511,False
299,166,428,False
300,167,388,False
301,180,343,False
302,326,325,False
303,372,358,False
304,535,847,False
305,390,660,False
306,430,393,False
307,380,395,False
308,214,456,False
309,496,546,False
310,509,546,False
311,296,603,False
312,360,376,False
313,317,368,False
314,460,309,False
315,406,379,False
316,372,404,False
317,494,452,False
318,437,510,False
319,197,314,False
320,251,347,False
321,197,411,False
322,427,248,False
323,224,505,False
324,207,478,False
325,459,633,False
326,226,379,False
327,440,631,False
328,177,488,False
329,177,468,False
330,353,477,False
331,378,378,False
332,512,429,False
333,471,632,False
334,219,344,False
335,330,404,False
336,364,399,False
337,322,330,False
338,161,366,False
339,335,424,False
340,237,316,False
341,485,521,False
342,233,422,False
343,436,448,False
344,176,355,False
345,552,454,False
346,173,423,False
347,383,592,False
348,443,402,False
349,190,355,False
350,347,325,False
351,277,333,False
352,335,393,False
353,197,397,False
354,114,438,False
355,323,428,False
356,435,569,False
357,318,358,False
358,263,330,False
359,383,307,False
360,422,615,False
361,321,290,False
362,391,368,False
363,352,318,False
364,504,679,False
365,283,353,False
366,381,677,False
367,421,421,False
368,408,426,False
369,206,444,False
370,200,427,False
371,328,667,False
372,169,326,False
373,566,438,False
374,435,585,False
375,232,338,False
376,144,374,False
377,165,318,False
378,286,368,False
379,473,554,False
380,344,394,False
381,334,452,False
382,399,663,False
383,452,379,False
384,335,398,False
385,233,358,False
386,367,379,False
387,250,315,False
388,408,294,False
389,337,333,False
390,238,355,False
391,160,367,False
392,341,339,False
393,315,280,False
394,433,619,False
395,223,326,False
396,458,316,False
397,308,297,False
398,385,574,False
399,165,364,False
400,308,324,False
401,181,381,False
402,417,295,False
403,272,390,False
404,287,332,False
405,279,360,False
406,316,268,False
407,392,281,False
408,312,316,False
409,272,424,False
410,474,695,False
411,336,336,False
412,350,354,False
413,229,367,False
414,164,355,False
415,343,326,False
416,341,582,False
417,345,719,False
418,176,355,False
419,353,394,False
420,328,346,False
421,209,457,False
422,544,579,False
423,211,332,False
424,387,480,False
425,515,536,False
426,427,602,False
427,525,824,False
428,294,303,False
429,263,226,False
430,495,581,False
431,305,317,False
432,360,296,False
433,241,346,False
434,346,299,False
435,582,566,False
436,342,386,False
437,177,367,False
438,577,435,False
439,360,593,False
440,488,505,False
441,377,718,False
442,409,551,False
443,187,395,False
444,301,332,False
445,551,490,False
446,492,428,False
447,167,407,False
448,582,461,False
449,359,314,False
450,304,401,False
451,560,589,False
452,307,330,False
453,354,393,False
454,269,384,False
455,137,410,False
456,571,542,False
457,386,716,False
458,245,311,False
459,548,425,False
460,245,358,False
461,424,660,False
462,556,593,False
463,442,671,False
464,550,675,False
465,531,438,False
466,484,465,False
467,251,361,False
468,229,395,False
469,384,309,False
470,296,332,False
471,412,350,False
472,167,368,False
473,440,455,False
474,189,443,False
475,306,387,False
476,220,400,False
477,509,722,False
478,409,428,False
479,517,526,False
480,466,631,False
481,479,648,False
482,577,427,False
483,237,373,False
484,210,337,False
485,721,354,False
486,329,701,False
487,699,372,False
488,180,381,False
489,478,604,False
490,272,382,False
491,356,452,False
492,516,597,False
493,529,617,False
494,306,725,False
495,406,275,False
496,560,434,False
497,535,489,False
498,469,532,False
499,331,493,False
500,317,726,False
501,339,291,False
502,453,387,False
503,473,712,False
504,381,529,False
505,209,387,False
506,341,274,False
507,307,321,False
508,331,719,False
509,304,696,False
510,474,413,False
511,233,368,False
512,317,374,False
513,617,516,False
514,281,327,False
515,142,437,False
516,445,402,False
517,579,612,False
518,254,676,False
519,151,404,False
520,231,761,False
521,490,545,False
522,252,372,False
523,536,347,False
524,330,437,False
525,224,368,False
526,378,503,False
527,225,313,False
528,209,397,False
529,724,542,False
530,212,387,False
531,252,390,False
532,501,477,False
533,549,398,False
534,444,454,False
535,495,471,False
536,189,381,False
537,193,276,False
538,412,606,False
539,180,381,False
540,143,301,False
541,290,378,False
542,330,342,False
543,466,656,False
544,596,472,False
545,484,572,False
546,526,562,False
547,292,373,False
548,460,447,False
549,391,685,False
550,453,431,False
551,461,630,False
552,346,392,False
553,541,752,False
554,249,308,False
555,326,307,False
556,323,613,False
557,271,519,False
558,232,358,False
559,261,530,False
560,184,365,False
561,692,554,False
562,248,299,False
563,497,486,False
564,200,427,False
565,494,463,False
566,513,583,False
567,527,495,False
568,332,619,False
569,508,541,False
570,153,398,False
571,360,679,False
572,586,689,False
573,299,297,False
574,450,424,False
575,355,364,False
576,410,578,False
577,442,682,False
578,500,486,False
579,472,526,False
580,355,406,False
581,323,736,False
582,507,450,False
583,430,673,False
584,644,375,False
585,474,695,False
586,527,614,False
587,528,586,False
588,416,509,False
589,470,438,False
590,652,500,False
591,507,471,False
592,520,569,False
593,347,698,False
594,412,609,False
595,316,357,False
596,329,642,False
597,428,565,False
598,519,528,False
599,308,690,False
600,441,632,False
601,502,719,False
602,531,620,False
603,661,393,False
604,275,712,False
605,455,540,False
606,293,292,False
607,522,582,False
608,511,607,False
609,314,677,False
610,537,456,False
611,457,525,False
612,397,666,False
613,532,665,False
614,513,476,False
615,437,590,False
616,525,397,False
617,302,691,False
618,306,672,False
619,509,436,False
620,300,743,False
621,266,298,False
622,466,666,False
623,338,409,False
624,401,408,False
625,527,758,False
626,512,577,False
627,576,519,False
628,275,379,False
629,531,536,False
630,435,694,False
631,444,639,False
632,302,637,False
633,318,300,False
634,636,739,False
635,328,326,False
636,529,574,False
637,514,451,False
638,282,666,False
639,397,547,False
640,435,566,False
641,491,720,False
642,549,609,False
643,218,659,False
644,263,325,False
645,319,698,False
646,193,439,False
647,861,504,False
648,339,346,False
649,668,445,False
650,354,708,False
651,611,564,False
652,636,583,False
653,258,325,False
654,634,544,False
655,326,710,False
656,398,597,False
657,755,619,False
658,748,709,False
659,453,513,False
660,792,757,False
661,252,317,False
662,252,206,False
663,493,402,False
664,732,672,False
665,711,652,False
666,353,261,False
667,379,583,False
668,312,318,False
669,402,281,False
670,506,412,False
671,700,353,False
672,840,505,False
673,380,280,False
674,452,522,False
675,549,538,False
676,511,477,False
677,657,342,False
678,554,551,False
679,323,667,False
680,163,354,False
681,423,604,False
682,595,399,False
683,230,333,False
684,785,704,False
685,532,420,False
686,338,705,False
687,352,684,False
688,544,731,False
689,262,305,False
690,331,666,False
691,291,339,False
692,559,806,False
693,297,351,False
694,251,277,False
695,265,321,False
696,524,626,False
697,597,419,False
698,486,517,False
699,545,413,False
700,448,593,False
701,720,678,False
702,432,573,False
703,432,587,False
704,459,692,False
705,209,314,False
706,288,323,False
707,651,425,False
708,639,667,False
709,374,690,False
710,414,518,False
711,244,269,False
712,557,370,False
713,333,677,False
714,776,711,False
715,521,775,False
716,319,794,False
717,255,572,False
718,403,561,False
719,407,334,False
720,538,654,False
721,440,592,False
722,537,598,False
723,547,663,False
724,440,313,False
725,403,512,False
726,329,765,False
727,572,716,False
728,597,632,False
729,493,640,False
730,533,468,False
731,539,707,False
732,506,505,False
733,608,423,False
734,367,719,False
735,490,617,False
736,379,314,False
737,479,610,False
738,253,311,False
739,504,619,False
740,202,325,False
741,568,600,False
742,184,366,False
743,132,429,False
744,571,524,False
745,313,323,False
746,424,495,False
747,583,478,False
748,412,703,False
749,253,319,False
750,374,274,False
751,224,360,False
752,236,340,False
753,226,307,False
754,434,291,False
755,609,519,False
756,237,367,False
757,263,341,False
758,241,298,False
759,211,364,False
760,192,276,False
761,273,340,False
762,163,386,False
763,301,256,False
764,284,342,False
765,289,367,False
766,244,299,False
767,263,323,False
768,167,410,False
769,316,708,False
770,398,758,False
771,495,612,False
772,344,691,False
773,157,371,False
774,192,404,False
775,274,282,False
776,591,568,False
777,628,377,False
778,234,293,False
779,578,544,False
780,547,486,False
781,424,499,False
782,750,518,False
783,619,660,False
784,718,644,False
785,798,505,False
786,233,309,False
787,355,721,False
788,510,762,False
789,543,590,False
790,548,574,False
791,372,496,False
792,348,507,False
793,198,344,False
794,349,514,False
795,365,719,False
796,189,342,False
797,420,530,False
798,349,594,False
799,302,685,False
800,239,316,False
801,386,727,False
802,628,744,False
803,502,626,False
804,511,572,False
805,485,401,False
806,218,413,False
807,567,490,False
808,326,659,False
809,213,423,False
810,493,508,False
811,600,601,False
812,576,636,False
813,426,561,False
814,199,305,False
815,360,301,False
816,481,580,False
817,315,645,False
818,384,675,False
819,214,456,False
820,781,614,False
821,213,442,False
822,540,450,False
823,374,295,False
824,433,731,False
825,420,666,False
826,729,386,False
827,693,357,False
828,315,265,False
829,345,335,False
830,499,420,False
831,342,659,False
832,306,344,False
833,357,340,False
834,376,738,False
835,439,355,False
836,351,319,False
837,434,629,False
838,497,418,False
839,284,342,False
840,418,694,False
841,403,641,False
842,328,350,False
843,430,384,False
844,642,654,False
845,398,681,False
846,200,326,False
847,520,691,False
848,272,751,False
849,139,379,False
850,467,613,False
851,295,269,False
852,153,354,False
853,145,430,False
854,279,338,False
855,458,324,False
856,351,378,False
857,123,372,False
858,179,347,False
859,139,378,False
860,353,876,False
861,291,331,False
862,339,348,False
863,452,757,False
864,329,564,False
865,209,326,False
866,361,708,False
867,352,880,False
868,233,317,False
869,298,272,False
870,363,558,False
871,452,392,False
872,178,321,False
873,411,739,False
874,315,570,False
875,365,709,False
876,397,420,False
877,384,931,False
878,414,387,False
879,614,515,False
880,476,457,False
881,535,488,False
882,489,467,False
883,287,547,False
884,791,722,False
885,427,620,False
886,452,692,False
887,242,323,False
888,383,704,False
889,193,372,False
890,516,486,False
891,410,340,False
892,599,552,False
893,597,546,False
894,213,319,False
895,810,699,False
896,378,535,False
897,222,313,False
898,530,508,False
899,359,632,False
900,331,630,False
901,231,316,False
902,230,361,False
903,348,528,False
904,197,403,False
905,778,724,False
906,447,400,False
907,238,351,False
908,524,513,False
909,292,269,False
910,355,747,False
911,414,653,False
912,466,601,False
913,521,502,False
914,435,274,False
915,191,296,False
916,166,334,False
917,508,590,False
918,360,791,False
919,338,369,False
920,466,541,False
921,363,775,False
922,421,478,False
923,346,266,False
924,584,564,False
925,469,542,False
926,661,623,False
927,635,702,False
928,527,404,False
929,172,365,False
930,163,363,False
931,163,358,False
932,483,573,False
933,451,710,False
934,135,384,False
935,304,358,False
936,304,363,False
937,490,556,False
938,241,288,False
939,261,337,False
940,179,332,False
941,630,643,False
942,797,281,False
943,168,346,False
944,545,496,False
945,204,352,False
946,180,386,False
947,369,343,False
948,609,393,False
949,144,406,False
950,315,273,False
951,342,360,False
952,325,298,False
953,585,516,False
954,543,481,False
955,457,289,False
956,265,574,False
957,802,890,False
958,327,466,False
959,235,548,False
960,340,292,False
961,324,297,False
962,229,546,False
963,206,373,False
964,205,423,False
965,362,424,False
966,209,427,False
967,289,696,False
968,203,411,False
969,230,621,False
970,202,433,False
971,220,423,False
972,387,841,False
973,336,405,False
974,193,365,False
975,344,396,False
976,249,602,False
977,217,606,False
978,252,498,False
979,223,598,False
980,262,677,False
981,262,760,False
982,736,832,False
983,327,530,False
984,417,447,False
985,361,519,False
986,294,770,False
987,805,717,False
988,354,765,False
989,281,735,False
990,346,749,False
991,345,391,False
992,587,404,False
993,351,723,False
994,237,711,False
995,810,490,False
996,367,601,False
997,351,465,False
998,342,893,False
999,480,843,False
1000,480,821,False
1001,678,885,False
1002,262,423,False
1003,726,893,False
1004,631,872,False
1005,651,480,False
1006,678,900,False
1007,413,839,False
1008,406,840,False
1009,313,421,False
1010,289,399,False
1011,350,615,False
1012,633,463,False
1013,680,900,False
1014,633,450,False
1015,603,841,False
1016,679,388,False
1017,644,841,False
1018,362,893,False
1019,393,893,False
1020,683,893,False
1021,310,534,False
1022,276,542,False
1023,487,885,False
1024,350,699,False
1025,895,708,False
1026,881,750,False
1027,454,891,False
1028,891,845,False
1029,449,895,False
1030,896,653,False
1031,470,895,False
1032,339,714,False
1033,379,896,False
1034,543,876,False
1035,598,897,False
1036,534,893,False
1037,576,899,False
1038,891,881,False
1039,849,894,False
1040,587,896,False
1041,658,890,False
1042,400,609,False
1043,271,592,False
1044,367,406,False
1045,403,569,False
1046,372,896,False
1047,895,691,False
1048,312,418,False
1049,475,834,False
1050,404,606,False
1051,352,466,False
1052,350,462,False
1053,894,647,False
1054,636,840,False
1055,730,894,False
1056,314,893,False
1057,313,764,False
1058,363,479,False
1059,333,728,False
1060,363,470,False
1061,808,645,False
1062,564,882,False
1063,574,894,False
1064,896,633,False
1065,893,639,False
1066,843,893,False
1067,889,856,False
1068,626,879,False
1069,605,820,False
1070,348,475,False
1071,665,891,False
1072,547,888,False
1073,849,751,False
1074,513,728,False
1075,892,604,False
1076,660,893,False
1077,681,894,False
1078,202,180,True
1079,895,724,False
1080,454,894,False
1081,651,892,False
1082,864,885,False
1083,895,675,False
1084,893,785,False
1085,896,600,False
1086,893,794,False
1087,897,756,False
1088,872,752,False
1089,332,893,False
1090,894,546,False
1091,553,891,False
1092,511,891,False
1093,607,890,False
1094,898,574,False
1095,453,826,False
1096,491,467,False
1097,336,725,False
1098,894,538,False
1099,704,893,False
1100,676,895,False
1101,895,730,False
1102,575,891,False
1103,616,886,False
1104,845,891,False
1105,618,897,False
1106,532,895,False
1107,809,611,False
1108,403,609,False
1109,562,893,False
1110,893,707,False
1111,596,900,False
1112,375,885,False
1113,706,880,False
1114,626,892,False
1115,713,893,False
1116,681,896,False
1117,327,892,False
1118,401,601,False
1119,556,659,False
1120,371,328,False
1121,454,694,False
1122,419,649,False
1123,430,883,False
1124,301,775,False
1125,358,313,False
1126,361,477,False
1127,705,893,False
1128,352,472,False
1129,441,476,False
1130,487,356,False
1131,314,753,False
1132,886,797,False
1133,621,467,False
1134,894,723,False
1135,895,871,False
1136,620,900,False
1137,367,534,False
1138,401,473,False
1139,525,329,False
1140,810,714,False
1141,585,736,False
1142,893,815,False
1143,838,895,False
1144,378,473,False
1145,900,611,False
1146,897,605,False
1147,796,847,False
1148,891,847,False
1149,449,472,False
1150,365,666,False
1151,348,692,False
1152,713,870,False
1153,897,594,False
1154,398,892,False
1155,794,855,False
1156,892,772,False
1157,510,894,False
1158,378,456,False
1159,371,474,False
1160,873,883,False
1161,893,817,False
1162,893,742,False
1163,358,684,False
1164,401,473,False
1165,537,896,False
1166,250,476,False
1167,425,473,False
1168,401,440,False
1169,442,552,False
1170,715,888,False
1171,893,581,False
1172,811,667,False
1173,893,719,False
1174,559,521,False
1175,829,879,False
1176,889,575,False
1177,359,892,False
1178,401,883,False
1179,388,473,False
1180,324,739,False
1181,307,774,False
1182,892,654,False
1183,447,892,False
1184,748,892,False
1185,311,781,False
1186,698,895,False
1187,696,893,False
1188,238,476,False
1189,712,882,False
1190,526,892,False
1191,371,657,False
1192,889,657,False
1193,894,780,False
1194,745,886,False
1195,489,889,False
1196,367,657,False
1197,340,887,False
1198,893,609,False
1199,441,894,False
1200,475,878,False
1201,656,891,False
1202,388,887,False
1203,303,477,False
1204,894,825,False
1205,452,898,False
1206,862,884,False
1207,889,893,False
1208,589,896,False
1209,662,876,False
1210,418,475,False
1211,889,553,False
1212,779,884,False
1213,541,895,False
1214,893,875,False
1215,58,160,True
1216,639,893,False
1217,893,784,False
1218,487,504,False
1219,892,817,False
1220,355,477,False
1221,896,871,False
1222,356,684,False
1223,564,473,False
1224,469,895,False
1225,416,476,False
1226,628,891,False
1227,407,475,False
1228,896,577,False
1229,897,790,False
1230,896,773,False
1231,570,477,False
1232,546,897,False
1233,655,890,False
1234,581,895,False
1235,892,779,False
1236,892,798,False
1237,459,892,False
1238,359,871,False
1239,414,893,False
1240,892,890,False
1241,513,476,False
1242,728,893,False
1243,492,470,False
1244,482,559,False
1245,610,892,False
1246,187,474,False
1247,893,678,False
1248,892,666,False
1249,577,886,False
1250,881,862,False
1251,420,476,False
1252,893,689,False
1253,518,892,False
1254,895,553,False
1255,892,875,False
1256,615,881,False
1257,552,870,False
1258,697,890,False
1259,879,888,False
1260,826,779,False
1261,618,893,False
1262,512,447,False
1263,801,892,False
1264,761,888,False
1265,513,894,False
1266,615,897,False
1267,896,611,False
1268,657,897,False
1269,723,893,False
1270,321,755,False
1271,281,879,False
1272,804,877,False
1273,306,478,False
1274,810,890,False
1275,333,464,False
1276,363,470,False
1277,726,468,False
1278,313,377,False
1279,322,477,False
1280,345,704,False
1281,894,727,False
1282,891,642,False
1283,197,293,False
1284,878,768,False
1285,607,476,False
1286,893,570,False
1287,793,474,False
1288,401,478,False
1289,894,722,False
1290,411,884,False
1291,365,892,False
1292,526,892,False
1293,715,893,False
1294,512,896,False
1295,704,473,False
1296,339,476,False
1297,890,677,False
1298,896,745,False
1299,696,896,False
1300,893,740,False
1301,894,685,False
1302,574,469,False
1303,526,891,False
1304,697,895,False
1305,894,774,False
1306,892,732,False
1307,893,886,False
1308,892,781,False
1309,896,822,False
1310,893,750,False
1311,596,716,False
1312,425,475,False
1313,896,521,False
1314,893,749,False
1315,548,460,False
1316,345,703,False
1317,895,842,False
1318,300,811,False
1319,896,694,False
1320,662,471,False
1321,896,830,False
1322,457,882,False
1323,897,818,False
1324,893,740,False
1325,892,794,False
1326,458,892,False
1327,894,878,False
1328,488,873,False
1329,574,894,False
1330,814,874,False
1331,573,476,False
1332,472,518,False
1333,523,887,False
1334,598,623,False
1335,448,893,False
1336,765,893,False
1337,754,893,False
1338,755,870,False
1339,760,595,False
1340,787,595,False
1341,539,894,False
1342,798,871,False
1343,896,873,False
1344,897,758,False
1345,863,891,False
1346,893,745,False
1347,355,688,False
1348,563,893,False
1349,541,894,False
1350,762,896,False
1351,168,396,False
1352,283,512,False
1353,897,686,False
1354,895,832,False
1355,890,887,False
1356,588,897,False
1357,485,471,False
1358,339,476,False
1359,893,718,False
1360,311,476,False
1361,564,887,False
1362,894,534,False
1363,893,835,False
1364,765,892,False
1365,896,737,False
1366,900,700,False
1367,897,698,False
1368,884,867,False
1369,420,476,False
1370,670,884,False
1371,650,891,False
1372,645,892,False
1373,875,712,False
1374,567,886,False
1375,586,894,False
1376,427,478,False
1377,886,882,False
1378,346,699,False
1379,595,641,False
1380,555,891,False
1381,892,884,False
1382,407,476,False
1383,895,849,False
1384,874,889,False
1385,517,475,False
1386,321,743,False
1387,731,889,False
1388,844,892,False
1389,715,887,False
1390,859,892,False
1391,880,892,False
1392,885,710,False
1393,551,475,False
1394,895,567,False
1395,341,710,False
1396,789,844,False
1397,614,881,False
1398,717,892,False
1399,580,896,False
1400,609,475,False
1401,623,896,False
1402,714,889,False
1403,595,894,False
1404,629,884,False
1405,631,893,False
1406,892,836,False
1407,460,476,False
1408,665,890,False
1409,361,476,False
1410,895,775,False
1411,892,847,False
1412,894,755,False
1413,724,892,False
1414,739,893,False
1415,658,893,False
1416,890,858,False
1417,788,892,False
1418,605,894,False
1419,375,650,False
1420,452,889,False
1421,418,883,False
1422,446,883,False
1423,315,769,False
1424,502,892,False
1425,883,858,False
1426,897,633,False
1427,897,637,False
1428,882,576,False
1429,500,668,False
1430,467,476,False
1431,875,632,False
1432,891,648,False
1433,896,721,False
1434,895,703,False
1435,407,477,False
1436,897,755,False
1437,897,648,False
1438,884,751,False
1439,888,736,False
1440,394,478,False
1441,379,476,False
1442,889,746,False
1443,890,663,False
1444,890,802,False
1445,896,659,False
1446,677,473,False
1447,693,883,False
1448,461,899,False
1449,654,891,False
1450,447,476,False
1451,873,671,False
1452,894,786,False
1453,593,892,False
1454,704,878,False
1455,872,893,False
1456,592,472,False
1457,445,476,False
1458,881,883,False
1459,893,464,False
1460,603,473,False
1461,546,470,False
1462,205,473,False
1463,385,430,False
1464,896,705,False
1465,422,476,False
1466,877,890,False
1467,715,892,False
1468,659,893,False
1469,552,893,False
1470,724,892,False
1471,538,476,False
1472,406,478,False
1473,677,882,False
1474,465,476,False
1475,893,812,False
1476,328,738,False
1477,560,893,False
1478,894,640,False
1479,546,894,False
1480,604,890,False
1481,649,887,False
1482,895,792,False
1483,894,616,False
1484,891,619,False
1485,897,693,False
1486,893,881,False
1487,900,652,False
1488,634,806,False
1489,862,887,False
1490,633,856,False
1491,468,895,False
1492,226,475,False
1493,701,894,False
1494,897,686,False
1495,424,571,False
1496,218,476,False
1497,269,539,False
1498,891,853,False
1499,518,476,False
1500,587,476,False
1501,894,744,False
1502,894,591,False
1503,895,813,False
1504,614,806,False
1505,349,681,False
1506,344,706,False
1507,506,890,False
1508,324,746,False
1509,642,894,False
1510,648,474,False
1511,895,692,False
1512,491,473,False
1513,664,475,False
1514,791,890,False
1515,891,662,False
1516,893,684,False
1517,893,694,False
1518,528,475,False
1519,783,893,False
1520,896,836,False
1521,181,472,False
1522,587,476,False
1523,895,596,False
1524,894,862,False
1525,894,875,False
1526,398,473,False
1527,328,735,False
1528,367,472,False
1529,789,891,False
1530,763,893,False
1531,897,656,False
1532,779,890,False
1533,326,889,False
1534,889,731,False
1535,893,589,False
1536,900,575,False
1537,893,674,False
1538,793,889,False
1539,896,703,False
1540,633,477,False
1541,203,476,False
1542,890,707,False
1543,544,476,False
1544,201,472,False
1545,801,894,False
1546,499,893,False
1547,893,707,False
1548,893,816,False
1549,898,566,False
1550,728,890,False
1551,894,674,False
1552,658,475,False
1553,891,624,False
1554,897,666,False
1555,893,674,False
1556,894,794,False
1557,891,698,False
1558,381,472,False
1559,314,758,False
1560,607,893,False
1561,561,435,False
1562,894,878,False
1563,343,706,False
1564,470,880,False
1565,900,555,False
1566,513,476,False
1567,892,875,False
1568,290,261,False
1569,309,474,False
1570,173,265,False
1571,852,865,False
1572,895,761,False
1573,677,475,False
1574,523,463,False
1575,894,621,False
1576,896,735,False
1577,896,738,False
1578,895,789,False
1579,519,476,False
1580,622,888,False
1581,572,428,False
1582,718,886,False
1583,390,893,False
1584,616,475,False
1585,371,891,False
1586,497,893,False
1587,895,573,False
1588,789,893,False
1589,409,466,False
1590,567,887,False
1591,449,456,False
1592,893,665,False
1593,351,893,False
1594,801,893,False
1595,555,892,False
1596,306,477,False
1597,320,743,False
1598,897,658,False
1599,770,897,False
1600,553,892,False
1601,894,837,False
1602,485,473,False
1603,896,776,False
1604,838,888,False
1605,331,898,False
1606,870,888,False
1607,489,894,False
1608,546,762,False
1609,845,894,False
1610,897,709,False
1611,892,768,False
1612,843,892,False
1613,741,893,False
1614,886,823,False
1615,835,891,False
1616,893,672,False
1617,201,478,False
1618,140,372,False
1619,561,893,False
1620,313,775,False
1621,172,473,False
1622,446,896,False
1623,710,893,False
1624,894,716,False
1625,675,890,False
1626,395,474,False
1627,890,891,False
1628,890,825,False
1629,890,818,False
1630,762,892,False
1631,896,750,False
1632,889,853,False
1633,498,890,False
1634,894,743,False
1635,875,860,False
1636,305,794,False
1637,312,777,False
1638,894,677,False
1639,897,740,False
1640,894,724,False
1641,180,466,False
1642,835,876,False
1643,326,740,False
1644,377,476,False
1645,674,892,False
1646,891,804,False
1647,569,896,False
1648,891,640,False
1649,893,789,False
1650,657,893,False
1651,385,638,False
1652,817,880,False
1653,889,821,False
1654,897,727,False
1655,891,796,False
1656,338,470,False
1657,892,726,False
1658,721,474,False
1659,892,728,False
1660,640,894,False
1661,896,637,False
1662,891,602,False
1663,890,513,False
